url,product_name,product_price,product_rating,rating_count,product_description
https://www.ulta.com/p/aromatics-elixir-eau-de-parfum-spray-VP11395,Aromatics Elixir Eau de Parfum Spray - 3.4 oz,118.0,4.0,936.0,"Clinique Aromatics Elixir Eau de Parfum Spray is a cult classic scent defined by a complex blend of bold, luxurious ingredients."
https://www.ulta.com/p/aura-de-vanille-eau-de-parfum-pimprod2055393,Aura de Vanille Eau De Parfum,30.0,4.6,14.0,"Le Monde Gourmand Aura de Vanille Eau De Parfum in collaboration with Toni Bravo is a dreamy mix of vanilla milk, sandalwood, and vanilla bean buttercream."
https://www.ulta.com/p/balinese-coconut-perfume-oil-pimprod2053626,Balinese Coconut Perfume Oil - 1.0 oz,108.0,4.5,277.0,"Bask on the beach of Bali with this nourishing perfume oil featuring notes of creamy coconut, tropical tiare blossom, and salted musk. NEST New York has a new look! The fragrance and formula remains the same, now housed in a new design."
https://www.ulta.com/p/bamboo-eau-de-parfum-xlsImpprod12761005,Bamboo Eau de Parfum - 2.5 oz,138.0,4.7,1337.0,"A woody and floral fragrance, Gucci Bamboo's eau de parfum is soft and intense at once, blooming with notes of exotic Casablanca Lily and Tahitian Vanilla. Sandalwood and Grey Amber balance the fragrance's femininity with a resonating woody contrast."
https://www.ulta.com/p/be-delicious-eau-de-parfum-VP00253,Be Delicious Eau de Parfum - 1.0 oz,58.0,4.7,548.0,"More than a fragrance, it's an attitude. Juicy and irresistible, DKNY Be Delicious Eau de Parfum is a fresh floral scent for women bursting with playful charm and spontaneity. Carton is made with FSC certified paperboard. The fragrance is made with sustainably sourced ingredients."
https://www.ulta.com/p/beautiful-eau-de-parfum-spray-VP11708,Beautiful Eau de Parfum Spray - 2.5 oz,110.0,4.6,1071.0,Beautiful Eau de Parfum by Estée Lauder is the fragrance of a thousand flowers.
https://www.ulta.com/p/beautiful-magnolia-eau-de-parfum-spray-pimprod2022124,Beautiful Magnolia Eau de Parfum Spray - 3.4 oz,150.0,4.8,7820.0,"Celebrate that I AM BEAUTIFUL with Estee Lauder's floral green fragrance, with notes of lush magnolia, solar gardenia, warm woods and luminous musk."
https://www.ulta.com/p/berry-styles-body-mist-pimprod2051548,Berry Styles Body Mist - 2.5 oz,22.0,4.8,268.0,"Berry Styles Body Mist is a fruity scent that can jam with ripe blueberries, raspberries, lime, blue freesia, vanilla, and creamy woods."
https://www.ulta.com/p/best-sellers-good-girl-perfume-6-piece-discovery-set-pimprod2051350,Best Sellers Good Girl Perfume 6-Piece Discovery Set,24.0,3.1,23.0,"Why settle for one when you can try them all? Sample, mix, or stash one in every bag. Discover the ultimate collection with Carolina Herrerra's Best Sellers Good Girl Perfume Discovery Set, featuring 6 samples of iconic Good Girl perfumes."
https://www.ulta.com/p/best-selling-good-girl-collection-mini-4-piece-gift-set-pimprod2055319,Best-selling Good Girl Collection Mini 4 Piece Gift Set,68.0,4.6,12.0,"Discover the Carolina Herrera's Best Selling Good Girl Collection Mini 4 Piece Gift Set. These purse-size, travel-ready women’s fragrances blend warm amber vanilla, fruity floral, & cherry gourmand—perfect for fall & winter, anytime you want a feminine scent on the go."
